,date,close
0,2018-03-12,490.0
1,2018-03-09,490.25
2,2018-03-08,499.25
3,2018-03-07,497.5
4,2018-03-06,506.0
5,2018-03-05,507.0
6,2018-03-02,499.0
7,2018-03-01,516.0
8,2018-02-28,492.5
9,2018-02-27,477.5
10,2018-02-26,473.75
11,2018-02-23,452.0
12,2018-02-22,450.75
13,2018-02-21,447.5
14,2018-02-20,449.25
15,2018-02-19,458.0
16,2018-02-18,458.0
17,2018-02-16,458.0
18,2018-02-15,461.5
19,2018-02-14,454.75
20,2018-02-13,459.25
21,2018-02-12,464.25
22,2018-02-09,449.25
23,2018-02-08,456.5
24,2018-02-07,461.0
25,2018-02-06,446.75
26,2018-02-05,442.0
27,2018-02-04,447.0
28,2018-02-02,447.0
29,2018-02-01,451.25
30,2018-01-31,451.5
31,2018-01-30,458.0
32,2018-01-29,449.0
33,2018-01-26,442.25
34,2018-01-25,434.25
35,2018-01-24,432.5
36,2018-01-23,421.75
37,2018-01-22,425.5
38,2018-01-19,423.25
39,2018-01-18,424.75
40,2018-01-17,421.5
41,2018-01-16,416.25
42,2018-01-12,420.75
43,2018-01-11,433.75
44,2018-01-10,434.0
45,2018-01-09,431.75
46,2018-01-08,427.0
47,2018-01-05,431.0
48,2018-01-04,433.5
49,2018-01-03,435.0
50,2018-01-02,434.25
51,2017-12-29,427.5
52,2017-12-28,426.75
53,2017-12-27,427.25
54,2017-12-26,422.25
55,2017-12-22,424.75
56,2017-12-21,427.0
57,2017-12-20,423.0
58,2017-12-19,420.0
59,2017-12-18,420.75
60,2017-12-15,418.0
61,2017-12-14,417.75
62,2017-12-13,417.25
63,2017-12-12,411.25
64,2017-12-11,413.25
65,2017-12-08,419.0
66,2017-12-07,421.25
67,2017-12-06,425.5
68,2017-12-05,432.0
69,2017-12-04,435.25
70,2017-12-01,438.75
71,2017-11-30,434.38
72,2017-11-29,434.75
73,2017-11-28,429.5
74,2017-11-27,409.12
75,2017-11-24,416.0
76,2017-11-22,422.25
77,2017-11-21,424.5
78,2017-11-20,422.12
79,2017-11-17,427.75
80,2017-11-16,421.5
81,2017-11-15,419.25
82,2017-11-14,428.0
83,2017-11-13,423.75
84,2017-11-10,431.75
85,2017-11-09,428.75
86,2017-11-08,426.5
87,2017-11-07,427.0
88,2017-11-06,431.0
89,2017-11-03,425.25
90,2017-11-02,425.75
91,2017-11-01,418.5
92,2017-10-31,418.5
93,2017-10-30,425.25
94,2017-10-27,427.0
95,2017-10-26,431.75
96,2017-10-25,435.0
97,2017-10-24,437.75
98,2017-10-23,437.25
99,2017-10-20,425.88
100,2017-10-19,432.75
101,2017-10-18,430.0
102,2017-10-17,434.75
103,2017-10-16,436.25
104,2017-10-13,439.75
105,2017-10-12,430.25
106,2017-10-11,433.5
107,2017-10-10,435.88
108,2017-10-09,436.0
109,2017-10-06,444.0
110,2017-10-05,441.25
111,2017-10-04,442.5
112,2017-10-03,448.5
113,2017-10-02,444.75
114,2017-09-29,448.25
115,2017-09-28,454.75
116,2017-09-27,461.5
117,2017-09-26,453.5
118,2017-09-25,454.0
119,2017-09-22,449.5
120,2017-09-21,452.75
121,2017-09-20,449.5
122,2017-09-19,442.75
123,2017-09-18,444.0
124,2017-09-15,448.75
125,2017-09-14,442.0
126,2017-09-13,444.5
127,2017-09-12,442.5
128,2017-09-11,434.5
129,2017-09-08,437.75
130,2017-09-07,437.5
131,2017-09-06,445.75
132,2017-09-05,443.5
133,2017-09-01,438.88
134,2017-08-31,435.5
135,2017-08-30,429.75
136,2017-08-29,429.5
137,2017-08-28,428.75
138,2017-08-25,410.0
139,2017-08-24,409.25
140,2017-08-23,403.12
141,2017-08-22,403.0
142,2017-08-21,410.0
143,2017-08-18,416.25
144,2017-08-17,414.0
145,2017-08-16,419.25
146,2017-08-15,430.0
147,2017-08-14,440.5
148,2017-08-11,439.25
149,2017-08-10,440.25
150,2017-08-09,459.75
151,2017-08-08,457.0
152,2017-08-07,463.75
153,2017-08-04,455.0
154,2017-08-03,457.5
155,2017-08-02,461.0
156,2017-08-01,461.5
157,2017-07-31,474.25
158,2017-07-28,481.25
159,2017-07-27,480.75
160,2017-07-26,478.0
161,2017-07-25,475.12
162,2017-07-24,488.88
163,2017-07-21,499.5
164,2017-07-20,505.62
165,2017-07-19,503.62
166,2017-07-18,504.75
167,2017-07-17,506.5
168,2017-07-14,510.75
169,2017-07-13,511.62
170,2017-07-12,536.5
171,2017-07-11,553.25
172,2017-07-10,550.5
173,2017-07-07,535.25
174,2017-07-06,538.62
175,2017-07-05,558.75
176,2017-07-03,554.38
177,2017-06-30,525.75
178,2017-06-29,495.88
179,2017-06-28,473.25
180,2017-06-27,469.0
181,2017-06-26,466.25
182,2017-06-23,460.0
183,2017-06-22,461.0
184,2017-06-21,464.75
185,2017-06-20,471.75
186,2017-06-19,467.75
187,2017-06-16,466.0
188,2017-06-15,454.75
189,2017-06-14,443.12
190,2017-06-13,444.5
191,2017-06-12,434.0
192,2017-06-09,445.75
193,2017-06-08,449.75
194,2017-06-07,444.75
195,2017-06-06,435.75
196,2017-06-05,429.5
197,2017-06-02,429.25
198,2017-06-01,429.25
199,2017-05-31,429.5
200,2017-05-30,429.38
201,2017-05-26,438.75
202,2017-05-25,430.75
203,2017-05-24,432.5
204,2017-05-23,429.12
205,2017-05-22,434.75
206,2017-05-19,435.5
207,2017-05-18,426.0
208,2017-05-17,427.5
209,2017-05-16,425.0
210,2017-05-15,424.25
211,2017-05-12,432.75
212,2017-05-11,433.5
213,2017-05-10,431.75
214,2017-05-09,429.75
215,2017-05-08,434.0
216,2017-05-05,443.0
217,2017-05-04,438.25
218,2017-05-03,453.5
219,2017-05-02,454.5
220,2017-05-01,456.0
221,2017-04-28,432.62
222,2017-04-27,431.5
223,2017-04-26,426.0
224,2017-04-25,427.25
225,2017-04-24,419.0
226,2017-04-21,405.75
227,2017-04-20,406.75
228,2017-04-19,418.5
229,2017-04-18,422.25
